id,pattern,reward
Logan13,"['d', 'd', 'w', 'a', 'a', 'w', 'w', 'a', 'a', 'd', 'w', 'w', 'w', 'w', 'w', 'a', 'a', 'd', 'a', 'd', 'w', 'a', 'a', 'a', 'a', 'w', 'a', 'w', 'a', 'd', 'a', 'w', 'w', 'w', 'w', 'd', 'd', 'd', 'a', 'a', 'd', 'd', 'a', 'd', 'd', 'w', 'w', 'd', 'w', 'a']",-15.5
Logan14,"['d', 'd', 'w', 'a', 'a', 'w', 'w', 'a', 'a', 'd', 'w', 'w', 'w', 'w', 'w', 'a', 'a', 'd', 'a', 'd', 'w', 'a', 'a', 'a', 'a', 'w', 'a', 'w', 'a', 'd', 'a', 'w', 'w', 'w', 'w', 'd', 'd', 'd', 'a', 'a', 'w', 'w', 'd', 'w', 'a', 'w', 'd', 'd', 'a', 'd']",0
Logan15,"['d', 'd', 'w', 'a', 'a', 'w', 'w', 'a', 'a', 'd', 'w', 'w', 'w', 'w', 'w', 'a', 'a', 'd', 'a', 'd', 'w', 'a', 'a', 'a', 'a', 'w', 'a', 'w', 'a', 'd', 'a', 'w', 'w', 'w', 'w', 'd', 'd', 'd', 'a', 'a', 'd', 'w', 'a', 'a', 'd', 'a', 'a', 'a', 'w', 'd']",0
Logan16,"['d', 'd', 'w', 'a', 'a', 'w', 'w', 'a', 'a', 'd', 'w', 'w', 'w', 'w', 'w', 'a', 'a', 'd', 'a', 'd', 'w', 'a', 'a', 'a', 'a', 'w', 'a', 'w', 'a', 'd', 'a', 'w', 'w', 'w', 'w', 'd', 'd', 'd', 'a', 'a', 'a', 'w', 'd', 'w', 'd', 'a', 'd', 'w', 'd', 'd']",-1000000
Logan17,"['d', 'd', 'w', 'a', 'a', 'w', 'w', 'a', 'a', 'd', 'w', 'w', 'w', 'w', 'w', 'a', 'a', 'd', 'a', 'd', 'w', 'a', 'a', 'a', 'a', 'w', 'a', 'w', 'a', 'd', 'a', 'w', 'w', 'w', 'w', 'd', 'd', 'd', 'a', 'a', 'w', 'd', 'a', 'w', 'w', 'w', 'a', 'd', 'w', 'a']",0
Logan18,"['d', 'd', 'w', 'a', 'a', 'w', 'w', 'a', 'a', 'd', 'w', 'w', 'w', 'w', 'w', 'a', 'a', 'd', 'a', 'd', 'w', 'a', 'a', 'a', 'a', 'w', 'a', 'w', 'a', 'd', 'a', 'w', 'w', 'w', 'w', 'd', 'd', 'd', 'a', 'a', 'd', 'a', 'a', 'd', 'a', 'a', 'a', 'd', 'a', 'd']",0
Logan19,"['d', 'd', 'w', 'a', 'a', 'w', 'w', 'a', 'a', 'd', 'w', 'w', 'w', 'w', 'w', 'a', 'a', 'd', 'a', 'd', 'w', 'a', 'a', 'a', 'a', 'w', 'a', 'w', 'a', 'd', 'a', 'w', 'w', 'w', 'w', 'd', 'd', 'd', 'a', 'a', 'd', 'a', 'a', 'd', 'a', 'a', 'a', 'w', 'd', 'd']",0
Logan20,"['d', 'd', 'w', 'a', 'a', 'w', 'w', 'a', 'a', 'd', 'w', 'w', 'w', 'w', 'w', 'a', 'a', 'd', 'a', 'd', 'w', 'a', 'a', 'a', 'a', 'w', 'a', 'w', 'a', 'd', 'a', 'w', 'w', 'w', 'w', 'd', 'd', 'd', 'a', 'a', 'w', 'd', 'd', 'd', 'w', 'w', 'd', 'a', 'w', 'w']",-1000000
Logan21,"['d', 'd', 'w', 'a', 'a', 'w', 'w', 'a', 'a', 'd', 'w', 'w', 'w', 'w', 'w', 'a', 'a', 'd', 'a', 'd', 'w', 'a', 'a', 'a', 'a', 'w', 'a', 'w', 'a', 'd', 'a', 'w', 'w', 'w', 'w', 'd', 'd', 'd', 'a', 'a', 'd', 'a', 'd', 'w', 'd', 'd', 'a', 'a', 'd', 'a']",-1000000
Logan22,"['d', 'd', 'w', 'a', 'a', 'w', 'w', 'a', 'a', 'd', 'w', 'w', 'w', 'w', 'w', 'a', 'a', 'd', 'a', 'd', 'w', 'a', 'a', 'a', 'a', 'w', 'a', 'w', 'a', 'd', 'a', 'w', 'w', 'w', 'w', 'd', 'd', 'd', 'a', 'a', 'w', 'w', 'w', 'w', 'd', 'd', 'w', 'd', 'd', 'w']",-1000000
